First,Last,congressman,affiliation
Gregorio,Sablan,Gregorio Sablan (Representative from NA),d
Robert,Aderholt,Robert Aderholt (Representative from Alabama),r
Lamar,Alexander,Lamar Alexander (Senator from Tennessee),r
Justin,Amash,Justin Amash (Representative from Michigan),r
Mark,Amodei,Mark Amodei (Representative from Nevada),r
Jo Ann,Emerson,Jo Ann Emerson (Representative from Missouri),r
Kelly,Ayotte,Kelly Ayotte (Senator from New Hampshire),r
Michele,Bachmann,Michele Bachmann (Representative from Minnesota),r
Spencer,Bachus,Spencer Bachus (Representative from Alabama),r
Tammy,Baldwin,Tammy Baldwin (Senator from Wisconsin),d
Ron,Barber,Ron Barber (Representative from Arizona),d
Lou,Barletta,Lou Barletta (Representative from Pennsylvania),r
Andy,Barr,Andy Barr (Representative from Kentucky),r
John,Barrasso,John Barrasso (Senator from Wyoming),r
John,Barrow,John Barrow (Representative from Georgia),d
Joe,Barton,Joe Barton (Representative from Texas),r
Karen,Bass,Karen Bass (Representative from California),d
Joyce,Beatty,Joyce Beatty (Representative from Ohio),d
Xavier,Becerra,Xavier Becerra (Representative from California),d
Mark,Begich,Mark Begich (Senator from Alaska),d
Dan,Benishek,Dan Benishek (Representative from Michigan),r
Michael,Bennet,Michael Bennet (Senator from Colorado),d
Kerry,Bentivolio,Kerry Bentivolio (Representative from Michigan),r
Ami,Bera,Ami Bera (Representative from California),d
Gus,Bilirakis,Gus Bilirakis (Representative from Florida),r
Timothy,Bishop,Timothy Bishop (Representative from New York),d
Sanford,Bishop,Sanford Bishop Jr. (Representative from Georgia),d
Diane,Black,Diane Black (Representative from Tennessee),r
Marsha,Blackburn,Marsha Blackburn (Representative from Tennessee),r
Richard,Blumenthal,Richard Blumenthal (Senator from Connecticut),d
Roy,Blunt,Roy Blunt (Senator from Missouri),r
John,Boehner,John Boehner (Representative from Ohio),r
Suzanne,Bonamici,Suzanne Bonamici (Representative from Oregon),d
Cory,Booker,Cory Booker (Senator from New Jersey),d
John,Boozman,John Boozman (Senator from Arkansas),r
Madeleine,Bordallo,Madeleine Bordallo (Representative from GU),d
Charles,Boustany,Charles Boustany Jr. (Representative from Louisiana),r
Barbara,Boxer,Barbara Boxer (Senator from California),d
Kevin,Brady,Kevin Brady (Representative from Texas),r
Bruce,Braley,Bruce Braley (Representative from Iowa),d
Jim,Bridenstine,Jim Bridenstine (Representative from Oklahoma),r
Susan,Brooks,Susan Brooks (Representative from Indiana),r
Mo,Brooks,Mo Brooks (Representative from Alabama),r
Sherrod,Brown,Sherrod Brown (Senator from Ohio),d
Corrine,Brown,Corrine Brown (Representative from Florida),d
Julia,Brownley,Julia Brownley (Representative from California),d
Vern,Buchanan,Vern Buchanan (Representative from Florida),r
Larry,Bucshon,Larry Bucshon (Representative from Indiana),r
Michael,Burgess,Michael Burgess (Representative from Texas),r
Richard,Burr,Richard Burr (Senator from North Carolina),r
